IncidentID,start,end,RoadName,CommonName,Direction,CrossStreetName,CrossStCommonName,Latitude,Longitude,ConditionName,IncidentType,Event,EventName,Reason,DOTNotes,day,flood,wind,winter,fog,rainevent,winterevent,cycloneevent,dur,noweather
377125,2011-08-24T13:45:00Z,2011-08-28T02:00:00Z,SR-1730,Elwell Ferry Rd,Heading East,NC-53,NC-53,34.47414645,-78.36886102,Road Closed,Weather Event,1,None,"The Elwell Ferry is closed due to high water; however, both ends of Elwell Ferry Rd. (S.R. 1730) will remain open.",NA,8/24/11,1,0,0,0,0,0,0,3.510416667,0
393784,2011-11-04T12:41:00Z,2011-11-04T14:05:14Z,US-441,NA,Both Directions,NA,NA,35.59224701,-83.38228607,Road Closed,Weather Event,1,None,US 441 through the Great Smoky Mountain National Park is closed due to ice and snow on the roadway.,NA,11/4/11,0,0,1,0,0,0,0,0.05849537,0
393831,2011-11-05T10:00:00Z,2011-11-05T14:22:21Z,NC-12,NC 12,Both Directions,US-70,US-70,34.89003825,-76.39516291,Road Closed,Weather Event,1,None,Tidal flooding has covered portions of NC 12 between Atlantic and Cedar Island. Road is currently impassable. Conditions expected to improve later this morning.,NA,11/5/11,1,0,0,0,0,0,0,0.1821875,0
394615,2011-11-29T13:24:00Z,2011-11-30T14:00:00Z,SR-1540,Wilson Rd,Heading South,SR-1504,SR-1504,35.23716018,-82.69839004,Road Closed,Weather Event,1,None,Due to high water Rd is closed.,NA,11/29/11,1,0,0,0,0,0,0,1.025,0
394616,2011-11-29T13:46:00Z,2011-11-29T18:04:49Z,SR-1127,Green Rd,Heading South,US-64,US-64,35.82457493,-77.2686629,Road Closed,Weather Event,1,None,Due to High Water Rd is Closed,NA,11/29/11,1,0,0,0,0,0,0,0.179733796,0
394617,2011-11-29T13:56:00Z,2011-11-30T14:00:00Z,SR-1110,Island Ford Rd,Heading South,US-64,US-64,35.79565971,-80.9380546,Road Closed,Weather Event,1,None,Due to High water Rd is Closed,NA,11/29/11,1,0,0,0,0,0,0,1.002777778,0
394618,2011-11-29T14:13:00Z,2011-11-30T14:00:00Z,SR-1207,Barclay R,Heading South,US-276,US-276,-25.46956991,30.95969645,Road Closed,Weather Event,1,None,Due to High Water Rd Closed,NA,11/29/11,1,0,0,0,0,0,0,0.990972222,0
394619,2011-11-29T14:16:00Z,2011-11-30T14:00:00Z,SR-1536,Cascade Lake Rd,Heading South,SR-1528,Crab Creek Rd,36.34242191,-76.25313684,Road Closed,Weather Event,1,None,Due to High Water Rd Closed,NA,11/29/11,1,0,0,0,0,0,0,0.988888889,0
394620,2011-11-29T14:19:00Z,2011-11-30T14:00:00Z,SR-1535,Merrill Lane,Heading North,SR-1536,Cascade Lake Rd,36.336716,-76.23777,Road Closed,Weather Event,1,None,Due to High Water Rd is Closed,NA,11/29/11,1,0,0,0,0,0,0,0.986805556,0
394622,2011-11-29T14:29:00Z,2011-11-30T14:00:00Z,SR-1534,Hart Rd,Heading East,SR-1533,Everett Rd,35.25278002,-82.64583014,Road Closed,Weather Event,1,None,Due to High Water Rd Is Closed,NA,11/29/11,1,0,0,0,0,0,0,0.979861111,0
394626,2011-11-29T14:41:00Z,2011-11-30T14:00:00Z,SR-1119,Sugar Loaf,Heading South,SR-1118,SR-1118,34.87098031,-80.14938019,Road Closed,Weather Event,1,None,Due to High Water Rd is Closed,NA,11/29/11,1,0,0,0,0,0,0,0.971527778,0
394630,2011-11-29T15:17:00Z,2011-11-30T20:30:00Z,SR-1345,Farmers Fish Camp,Heading North,NC-93,NC-93,36.54262014,-81.20307997,Road Closed,Weather Event,1,None,The road is closed near NC-93.,Bridge under water; impassable,11/29/11,1,0,0,0,0,0,0,1.217361111,0
394654,2011-11-29T19:20:00Z,2011-12-02T22:00:00Z,SR-1191,NA,Both Directions,SR-1191,SR-1191,35.29813954,-82.56255627,Road Closed,Weather Event,1,None,Road Closed due to High Water at intersection,NA,11/29/11,1,0,0,0,0,0,0,3.111111111,0
394655,2011-11-29T19:19:00Z,2011-11-30T22:00:00Z,SR-1353,Hooper LN,Both Directions,NC-191,NC-191,35.37939973,-82.54924983,Road Closed,Weather Event,1,None,Road Closed Due to High Water,NA,11/29/11,1,0,0,0,0,0,0,1.111805556,0
394766,2011-12-01T20:50:00Z,2011-12-08T22:00:00Z,SR-1730,Elwell Ferry Rd,Both Directions,NA,NA,34.47419148,-78.36856842,Road Closed,Weather Event,1,None,Elwell Ferry Road is closed due to high water at the Cape Fear River.,NA,12/1/11,1,0,0,0,0,0,0,7.048611111,0
394962,2011-12-07T15:06:00Z,2011-12-08T14:00:00Z,SR-1433,scenic valley,Heading South,SR-1444,SR-1444,36.333599,-76.23027,Road Closed,Weather Event,1,None,NA,bridge under water,12/7/11,1,0,0,0,0,0,0,0.954166667,0
394971,2011-12-07T20:20:00Z,2011-12-09T14:00:00Z,SR-1345,Farmers Fish Camp,Heading North,NC-93,NC-93,36.54262014,-81.20307997,Road Closed,Weather Event,1,None,Bridge flooded due to heavy rains,NA,12/7/11,1,0,0,0,0,0,0,1.736111111,0
394976,2011-12-07T21:36:00Z,2011-12-08T15:46:11Z,US-441,Newfound Gap Rd,Both Directions,NA,NA,35.59677476,-83.39970589,Road Closed,Weather Event,1,None,"All lanes closed in both directions on US-441, North West of Sylva, due to inclement weather.",NA,12/7/11,0,0,0,0,0,0,0,0.757071759,1
394977,2011-12-07T21:41:00Z,2011-12-08T15:46:20Z,US-441,Newfound Gap Rd,Both Directions,NA,NA,35.54036311,-83.29924107,Road Closed,Weather Event,1,None,"All lanes closed in both directions on US-441, North East of Bryson City, due to inclement weather.",NA,12/7/11,0,0,0,0,0,0,0,0.753703704,1
395629,2011-12-27T11:50:00Z,2011-12-27T13:09:49Z,US-441,NA,Both Directions,NA,NA,35.55247961,-83.30872536,Road Closed,Weather Event,1,None,Road closed through the Great Smoky Mountains National Park due to ice and snow.,NA,12/27/11,0,0,1,0,0,0,0,0.055428241,0
396313,2012-01-18T12:21:00Z,2012-02-01T17:00:00Z,SR-1730,Elwell Ferry Rd,Both Directions,NA,NA,34.47436837,-78.36869717,Road Closed,Weather Event,1,None,The Elwell Ferry Road Ferry is closed at the Cape Fear River due to high water.,NA,1/18/12,1,0,0,0,0,0,0,14.19375,0
397287,2012-02-12T19:54:00Z,2012-02-12T22:00:00Z,US-264,NA,Both Directions,NC-231,NC-231,35.78968405,-78.20394695,Road Closed,Weather Event,1,None,"Road closed due to low visibility at mile marker 24, from brush fires on NC Hwy 231, near the Wilson County line.",NA,2/12/12,0,0,0,1,0,0,0,0.0875,0
397288,2012-02-12T22:17:00Z,2012-02-13T13:11:51Z,US-441,NA,Both Directions,NA,NA,35.49949574,-83.30323219,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road) is closed between Cherokee, NC and Gatlinburg, TN due to snow and ice",NA,2/12/12,0,0,1,0,0,0,0,0.621423611,0
397332,2012-02-14T11:42:00Z,2012-02-14T17:04:35Z,US-441,NA,Both Directions,NA,NA,35.56473391,-83.33292961,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road) is closed between Cherokee, NC and Gatlinburg, TN due to snow and ice.",NA,2/14/12,0,0,1,0,0,0,0,0.224016204,0
397532,2012-02-20T00:01:00Z,2012-02-20T15:00:58Z,US-441,Newfound Gap Rd,Both Directions,NA,NA,35.20563889,-83.35974121,Road Closed,Weather Event,1,None,"US-441 (Newfound Gap Road) is closed between Cherokee, NC and Gatlinburg, TN due to snow and ice",NA,2/19/12,0,0,1,0,0,0,0,0.624976852,0
398055,2012-03-05T11:52:00Z,2012-03-05T17:43:16Z,US-441,NA,Both Directions,NA,NA,35.59304081,-83.38472843,Road Closed,Weather Event,1,None,US 441 through the Great Smoky Mountains National Park is closed due to snow and ice.,NA,3/5/12,0,0,1,0,0,0,0,0.243935185,0
398076,2012-03-05T17:07:00Z,2012-03-05T19:07:00Z,SR-2212,Fairview Dr,Both Directions,NA,NA,35.51551,-79.099968,Road Closed,Road Obstruction,1,None,Fairview Drive is closed between Fairway Drive and Country Club Drive due to a tree that has fallen in the road.,NA,3/5/12,0,1,0,0,0,0,0,0.083333333,0
398820,2012-03-22T03:12:00Z,2012-03-22T08:00:00Z,SR-1620,Timothy Rd,Both Directions,SR-1626,SR-1626,35.26606031,-78.53779033,Road Closed,Road Obstruction,1,None,"Due to heavy rains, the intersection is flooded and impassible.  Motorists are advised not to attempt crossing through the intersection and to use caution in the area.",NA,3/21/12,1,0,0,0,0,0,0,0.2,0
398967,2012-03-25T02:19:00Z,2012-03-26T20:30:00Z,SR-1707,Corbett Rd,Both Directions,SR-1708,Cannan Rd,35.25171728,-78.29621315,Road Closed,Weather Event,1,None,"Corbett Road is closed between Cannan Road and NC-55, Mount Olive Highway, due to high water.",Updated per Neil - KMS.,3/24/12,1,0,0,0,0,0,0,1.757638889,0
401319,2012-05-15T02:00:00Z,2012-05-15T11:00:00Z,SR-1570,Dinkins Bottom Rd,Both Directions,SR-1001,SR-1001,36.10584378,-80.51944256,Road Closed,Weather Event,1,None,Road closed on Dinkins Bottom Rd (SR 1570) due to flooding near Courtney Huntsville Rd (SR 1001).,NA,5/14/12,1,0,0,0,0,0,0,0.375,0
401804,2012-05-24T14:59:00Z,2012-05-25T01:00:00Z,SR-1760,Mobleys Bridge Rd,Both Directions,SR-1768,Foster Rd,35.55886883,-77.23766327,Road Closed,Weather Event,1,None,water across road,NA,5/24/12,1,0,0,0,0,0,0,0.417361111,0
401805,2012-05-24T15:02:00Z,2012-05-24T21:18:24Z,SR-1711,Worthington,Both Directions,SR-1709,SR-1709,35.5258698,-77.37297535,Road Closed,Weather Event,1,None,water across road,NA,5/24/12,1,0,0,0,0,0,0,0.261388889,0
401806,2012-05-24T15:04:00Z,2012-05-25T01:00:00Z,SR-1565,Grimesland Bridge Rd,Both Directions,SR-1780,Boyds Rd,35.53323902,-77.18779564,Road Closed,Weather Event,1,None,road flooded,NA,5/24/12,1,0,0,0,0,0,0,0.413888889,0
401808,2012-05-24T15:06:00Z,2012-05-24T21:10:23Z,SR-1755,Blackjack-Simpson Rd,Both Directions,SR-1774,SR-1774,35.50924293,-77.24903584,Road Closed,Weather Event,1,None,road flooded,NA,5/24/12,1,0,0,0,0,0,0,0.253043981,0
401809,2012-05-24T15:08:00Z,2012-05-24T21:18:41Z,SR-1772,Hudsons Crossroads,Both Directions,SR-1777,SR-1777,35.52038611,-77.23423004,Road Closed,Weather Event,1,None,road flooded,NA,5/24/12,1,0,0,0,0,0,0,0.257418981,0
401810,2012-05-24T15:11:00Z,2012-05-24T16:41:35Z,SR-1756,J. C. Galloway,Both Directions,SR-1777,SR-1777,35.53315171,-77.22433805,Road Closed,Weather Event,1,None,road flooded,NA,5/24/12,1,0,0,0,0,0,0,0.062905093,0
401815,2012-05-24T16:36:00Z,2012-05-25T01:00:00Z,SR-1750,Ervin Buck Rd,Both Directions,NC-43,NC-43,35.4680102,-77.29650021,Road Closed,Weather Event,1,None,road flooded,NA,5/24/12,1,0,0,0,0,0,0,0.35,0
401816,2012-05-24T16:38:00Z,2012-05-24T21:12:17Z,SR-1749,Grover Hardee Rd,Both Directions,SR-1750,SR-1750,35.47632833,-77.31280804,Road Closed,Weather Event,1,None,road flooded,NA,5/24/12,1,0,0,0,0,0,0,0.190474537,0
402038,2012-05-30T20:41:00Z,2012-06-01T21:41:00Z,SR-1159,Old Kinston Rd,Both Directions,NC-58,NC-58,35.09891451,-77.49996185,Road Closed,Weather Event,1,None,Closed due to flooding.,NA,5/30/12,1,0,0,0,0,0,0,2.041666667,0
402043,2012-05-30T21:17:00Z,2012-05-31T22:00:00Z,SR-1501,Woodland Church Road,Both Directions,SR-1500,SR-1500,35.446476,-79.169495,Road Closed,Weather Event,1,None,Flooding. Road closed from the intersection of SR 1500 (Tram Road) to the intersection of SR 1519 (John David Grady Road).,NA,5/30/12,1,0,0,0,0,0,0,1.029861111,0
